会社名,業種,所在地,URL,メール,フォームURL,HP状態,改善余地スコア(1-5),営業NG表記,送信可否,送信ステータス,送信日,返信ステータス,次回アクション,メモ
福岡外壁塗装センター,塗装,福岡市博多区博多駅前2-1-1,https://fukuoka-gaiheki-center.co.jp,info@fukuoka-gaiheki-center.co.jp,https://fukuoka-gaiheki-center.co.jp/contact,古い・スマホ非対応,5,なし,可,,,,,
ハウスリフォーム博多,リフォーム,福岡市博多区吉塚3-5-8,https://house-reform-hakata.jp,contact@house-reform-hakata.jp,https://house-reform-hakata.jp/inquiry,古い・情報不足,4,なし,可,,,,,
九州塗装工業 株式会社,塗装,福岡市東区松崎1-10-3,https://kyushu-tosou.co.jp,info@kyushu-tosou.co.jp,https://kyushu-tosou.co.jp/form,デザイン古い,4,なし,可,,,,,
フクオカリノベーション,リノベーション,福岡市中央区大名2-3-12,https://fukuoka-renovation.jp,hello@fukuoka-renovation.jp,https://fukuoka-renovation.jp/contact,スマホ非対応,5,なし,可,,,,,
博多建装 株式会社,建設・外構,福岡市博多区千代4-7-2,https://hakata-kensou.co.jp,info@hakata-kensou.co.jp,,HP非常に古い,5,なし,可,,,,,フォームなし・メール送信
南区塗装プロ,塗装,福岡市南区大橋1-2-15,https://minami-tosou-pro.jp,pro@minami-tosou-pro.jp,https://minami-tosou-pro.jp/contact,情報薄・画像なし,4,なし,可,,,,,
グリーンホームリフォーム,リフォーム,福岡市早良区藤崎1-14-5,https://green-home-reform.co.jp,info@green-home-reform.co.jp,https://green-home-reform.co.jp/form,まあまあだが事例少,3,なし,可,,,,,
西区外壁工務店,塗装・外壁,福岡市西区姪の浜2-8-9,https://nishi-gaiheki.jp,contact@nishi-gaiheki.jp,,HPなし同様,5,なし,可,,,,,フォームなし・要メール
アクアペイント福岡,塗装,福岡市城南区田島3-4-11,https://aquapaint-fukuoka.jp,info@aquapaint-fukuoka.jp,https://aquapaint-fukuoka.jp/inquiry,スマホ非対応・古い,4,なし,可,,,,,
太宰府リフォームセンター,リフォーム,太宰府市国分2-15-6,https://dazaifu-reform.co.jp,info@dazaifu-reform.co.jp,https://dazaifu-reform.co.jp/contact,デザイン古い,4,なし,可,,,,,
春日市塗装工業,塗装,春日市春日原北町4-1,https://kasuga-tosou.jp,info@kasuga-tosou.jp,,フォームなし・古い,5,なし,可,,,,,
糸島ホームサービス,リフォーム・外構,糸島市前原中央3-8-4,https://itoshima-home.co.jp,contact@itoshima-home.co.jp,https://itoshima-home.co.jp/form,そこそこだが事例なし,3,なし,可,,,,,
新宮町建装,建設・塗装,糟屋郡新宮町三代1-4-12,https://shingu-kensou.jp,info@shingu-kensou.jp,,HP非常に古い,5,なし,可,,,,,フォームなし
粕屋リフォームプロ,リフォーム,糟屋郡粕屋町戸原東2-3-8,https://kasuya-reform-pro.jp,info@kasuya-reform-pro.jp,https://kasuya-reform-pro.jp/contact,古い・モバイル非対応,4,なし,可,,,,,
宗像外壁塗装,塗装,宗像市東郷1-15-7,https://munakata-gaiheki.co.jp,info@munakata-gaiheki.co.jp,https://munakata-gaiheki.co.jp/inquiry,情報少・画像なし,5,なし,可,,,,,
古賀市塗装センター,塗装,古賀市花鶴丘1-2-11,https://koga-paint.jp,info@koga-paint.jp,,HPなし同様,5,なし,可,,,,,フォームなし
大野城リノベ工房,リノベーション,大野城市瓦田3-2-9,https://onojo-rinobe.co.jp,contact@onojo-rinobe.co.jp,https://onojo-rinobe.co.jp/form,古い・事例なし,4,なし,可,,,,,
筑紫野塗装技研,塗装,筑紫野市二日市中央5-1-3,https://chikushino-tosou.jp,info@chikushino-tosou.jp,,HP古い・フォームなし,5,なし,可,,,,,
福岡東区外構工事,外構,福岡市東区箱崎2-9-4,https://fukuoka-higashi-gaiko.jp,info@fukuoka-higashi-gaiko.jp,https://fukuoka-higashi-gaiko.jp/contact,古いがフォームあり,3,なし,可,,,,,
博多塗装ベスト,塗装,福岡市博多区美野島1-6-5,https://hakata-paint-best.co.jp,best@hakata-paint-best.co.jp,https://hakata-paint-best.co.jp/inquiry,スマホ対応済だが古い,3,なし,可,,,,,
ライフリフォーム博多,リフォーム,福岡市博多区店屋町4-12-3,https://life-reform-hakata.jp,info@life-reform-hakata.jp,https://life-reform-hakata.jp/form,デザインが古い,4,なし,可,,,,,
サクラペイント九州,塗装,福岡市南区塩原2-8-7,https://sakura-paint-kyushu.co.jp,info@sakura-paint-kyushu.co.jp,https://sakura-paint-kyushu.co.jp/contact,そこそこだが改善余地あり,3,なし,可,,,,,
